998 B C
958 M 448 28
77 M 218 3
523 M 439 14
357 M 358 9
146 M 0 0
734 M 58 20
401 M 38 10
418 M 279 11
155 M 288 2
154 M 269 4
246 M 118 6
23 M 0 0
217 M 188 4
635 M 28 17
422 M 349 12
305 M 38 9
674 M 68 18
795 M 455 19
275 M 58 6
902 M 9 25
148 M 188 4
532 M 78 15
653 M 278 17
989 M 388 28
199 M 2 5
474 M 130 14
207 M 90 6
40 M 148 1
818 M 258 22
142 M 106 1
616 M 278 16
717 M 0 0
529 M 35 14
940 M 186 24
496 M 48 13
753 M 329 21
924 M 398 25
242 M 68 6
378 M 148 9
149 M 209 3
579 M 268 19
70 M 118 1
336 M 0 0
78 M 228 1
105 M 28 3
87 M 318 2
106 M 46 0
19 M 300 2
245 M 108 5
367 M 478 9
31 M 21 3
43 M 208 2
562 M 7 13
300 M 448 6
256 M 228 5
347 M 0 0
639 M 0 0
605 M 148 18
440 M 158 12
951 M 355 23
689 M 368 19
541 M 188 18
920 M 345 25
565 M 70 17
388 M 0 0
394 M 367 8
10 M 178 0
5 M 75 0
910 M 138 25
385 M 219 10
143 M 119 3
526 M 2 16
182 M 118 3
887 M 308 24
682 M 278 19
872 M 58 24
157 M 308 4
568 M 118 16
844 M 119 24
177 M 68 3
842 M 88 23
107 M 88 1
278 M 89 6
518 M 359 14
144 M 125 2
330 M 436 5
836 M 0 0
373 M 75 7
660 M 408 19
665 M 465 15
471 M 0 0
282 M 198 6
377 M 138 10
667 M 2 19
264 M 349 9
187 M 228 5
451 M 348 12
139 M 68 3
476 M 158 12
430 M 1 11
645 M 156 20
314 M 198 9
194 M 378 5
519 M 378 14
134 M 458 2
13 M 206 5
847 M 168 23
945 M 258 26
573 M 175 13
287 M 255 6
179 M 88 3
62 M 0 0
224 M 288 5
794 M 428 21
736 M 88 20
172 M 478 4
407 M 118 10
696 M 468 18
340 M 98 9
432 M 28 14
33 M 58 0
972 M 128 27
583 M 348 17
375 M 109 11
122 M 308 4
561 M 0 17
649 M 208 17
1 M 28 2
121 M 288 1
774 M 210 23
136 M 478 1
178 M 78 4
316 M 218 7
38 M 128 3
221 M 238 5
214 M 155 1
269 M 465 2
358 M 369 8
592 M 445 12
341 M 108 11
290 M 288 7
425 M 398 10
737 M 98 21
625 M 385 14
974 M 149 28
757 M 388 21
831 M 429 24
636 M 38 19
756 M 368 21
582 M 328 15
979 M 228 27
933 M 88 26
277 M 78 7
27 M 439 2
777 M 239 23
218 M 208 7
907 M 98 27
412 M 198 11
735 M 76 19
789 M 358 21
768 M 58 21
556 M 408 15
479 M 198 12
361 M 0 0
371 M 48 9
250 M 155 4
973 M 138 29
308 M 138 8
964 M 18 28
634 M 18 18
420 M 319 12
259 M 295 4
666 M 478 17
810 M 158 22
537 M 149 14
467 M 58 12
504 M 178 14
676 M 109 19
726 M 449 19
876 M 118 25
239 M 25 8
303 M 488 6
531 M 68 15
896 M 0 0
73 M 179 1
35 M 88 1
72 M 168 0
17 M 258 1
463 M 488 12
350 M 255 6
799 M 12 19
563 M 19 15
766 M 38 21
395 M 408 9
890 M 368 24
698 M 488 20
637 M 48 17
695 M 448 18
607 M 165 16
640 M 99 19
153 M 248 2
855 M 278 24
383 M 198 9
147 M 168 2
212 M 139 5
913 M 208 25
694 M 438 18
191 M 288 5
741 M 148 21
20 M 310 0
42 M 188 1
871 M 38 27
489 M 346 10
192 M 0 0
254 M 208 7
508 M 218 13
219 M 218 5
950 M 348 27
544 M 228 17
959 M 458 26
750 M 298 21
886 M 289 24
58 M 435 1
700 M 58 19
686 M 335 16
80 M 248 1
690 M 385 18
638 M 65 16
988 M 378 27
156 M 298 2
581 M 319 16
102 M 1 1
880 M 208 24
452 M 358 12
502 M 158 14
577 M 248 15
84 M 286 0
725 M 438 19
110 M 115 3
617 M 0 0
441 M 178 12
223 M 268 5
788 M 348 23
942 M 208 26
971 M 98 28
869 M 7 21
229 M 358 6
986 M 358 28
751 M 306 19
470 M 88 13
661 M 415 18
59 M 448 0
509 M 225 10
830 M 418 24
362 M 428 9
614 M 258 16
905 M 58 26
659 M 398 19
744 M 178 21
197 M 469 5
85 M 298 2
800 M 17 20
445 M 0 0
671 M 0 0
234 M 428 4
409 M 148 10
129 M 398 4
396 M 428 9
524 M 448 13
119 M 259 3
956 M 418 26
947 M 288 27
318 M 258 8
123 M 315 2
991 M 408 27
664 M 458 17
822 M 308 23
863 M 408 24
258 M 288 5
845 M 136 25
711 M 226 21
854 M 265 22
293 M 355 9
449 M 328 12
227 M 318 5
279 M 98 7
511 M 268 14
344 M 138 8
30 M 488 1
591 M 438 15
414 M 218 10
814 M 218 23
261 M 318 5
783 M 298 21
882 M 228 25
7 M 118 1
572 M 168 17
297 M 409 6
329 M 428 9
897 M 450 28
719 M 348 20
720 M 368 19
26 M 0 0
575 M 218 17
650 M 215 17
429 M 478 10
459 M 0 0
980 M 258 27
598 M 0 0
304 M 1 7
540 M 178 16
970 M 88 28
113 M 158 2
790 M 368 21
743 M 169 21
391 M 309 11
858 M 328 23
547 M 278 16
732 M 38 20
923 M 375 24
55 M 409 0
705 M 128 19
53 M 378 2
867 M 478 23
786 M 328 22
291 M 328 7
861 M 379 24
118 M 239 4
495 M 28 14
28 M 445 0
678 M 178 18
138 M 58 3
206 M 78 4
151 M 225 2
610 M 206 15
630 M 458 17
481 M 218 13
410 M 0 0
434 M 48 11
326 M 398 7
627 M 418 16
324 M 369 8
884 M 258 26
530 M 49 16
374 M 88 9
724 M 428 19
166 M 398 4
54 M 398 3
908 M 108 29
512 M 278 16
536 M 0 0
677 M 130 20
692 M 415 18
646 M 178 18
101 M 488 4
228 M 328 5
932 M 78 26
171 M 465 1
929 M 28 28
663 M 438 17
792 M 398 22
363 M 440 9
953 M 390 28
770 M 158 22
776 M 229 22
249 M 148 5
462 M 475 9
965 M 28 28
911 M 160 27
195 M 0 0
313 M 188 8
895 M 419 25
981 M 298 27
528 M 0 0
381 M 178 9
284 M 228 6
384 M 208 13
658 M 389 17
190 M 280 5
944 M 248 26
778 M 249 22
485 M 298 13
321 M 318 7
343 M 128 9
65 M 39 1
673 M 58 18
204 M 0 0
619 M 0 0
539 M 168 17
843 M 106 21
45 M 278 0
587 M 398 16
405 M 0 0
382 M 188 9
848 M 188 23
975 M 168 28
127 M 376 5
655 M 360 19
360 M 398 9
230 M 378 5
315 M 205 5
977 M 200 29
718 M 338 21
995 M 488 29
457 M 432 12
490 M 378 12
654 M 0 0
916 M 248 26
263 M 338 5
103 M 5 2
709 M 198 19
840 M 68 24
819 M 268 25
873 M 68 24
159 M 328 5
952 M 368 26
585 M 369 17
505 M 189 17
225 M 298 5
618 M 298 17
497 M 75 13
742 M 158 20
170 M 458 2
131 M 428 1
57 M 428 1
912 M 188 26
893 M 398 24
815 M 228 22
760 M 438 22
491 M 389 13
868 M 488 26
626 M 399 16
132 M 438 1
824 M 348 23
160 M 339 3
325 M 388 8
949 M 328 29
889 M 0 0
510 M 260 15
255 M 218 7
987 M 368 29
427 M 418 10
901 M 0 0
552 M 339 15
714 M 278 19
992 M 418 28
851 M 238 23
864 M 438 23
918 M 278 25
558 M 438 14
586 M 0 0
849 M 198 23
691 M 398 19
772 M 189 23
835 M 468 22
898 M 455 24
954 M 399 27
978 M 215 30
761 M 459 21
126 M 369 3
820 M 288 23
593 M 468 17
624 M 378 17
588 M 408 15
